,original,predicted,score
2340,None,None,None
2341,None,None,None
2342,брошюры «добрая весть от бога» брошюр «свидетели иеговы» брошюры «когда умер близкий тебе человек»,"брошюра «когда умер близкий тебе человек», © 1994, 2000 watch tower bible and tract society of pennsylvania, 32 страницы, напечатано в испании (",31.800000000000004
2343,None,None,None
2344,None,None,None
2345,книгу «< изъято >» названием «< изъято >»,"видеообращение под наименованием «обращение закарии», обнаруженное и изъятое 04.07.2010 в ходе мониторинга глобальной телекоммуникационной сети интернет на сайте «www.islamdin.com» (",2.3
2346,запись «антифашист-fuck off» аудиозапись «антифашист-fuck off»,"размещенные в сети интернет, в том числе на веб сервисе сайта «vk.com» аудиозаписи под наименованием «вандал - антифашист» (18 аудиозаписей) длительностью от 00 минут 53 секунды до 04 минут 00 секунд, «вандал - 12 - антифашист - fuck off» длительностью 02 минуты 15 секунд, «вандал «антифашист» » длительностью 01 минуту 34 секунды, «вандал -антифашист - fuck off» длительностью от 01 минуту 45 секунд до 02 минуты 15 секунд, «вандал - антифашист» длительностью 01 минуту 47 секунд, «вандал -антифашист» длительностью 02 минуты 00 секунд, «бритоголовые идут-2 -вандал - антифашист- fuck off» длительностью 02 минуты 15 секунд, «вандал - антифашист - fuc» длительностью 02 минуты 15 секунд, «бритоголовые идут - вандал – антифашист – fuck off» длительность 02 минуты 16 секунд, «вандал - сука антифашист» длительностью 01 минуту 45 секунд, «вандал - антифашист (2001 европа)» длительностью 01 минуту 46 секунд, «вандал - антифашист http://vkontakte.ru/app 1841357» длительностью 01 минуту 46 секунд, «вандал - антифашист fuck off!» длительностью 01 минуту 46 секунд, «вандал - антифашист fuck off» длительностью 01 минуту 46 секунд, «вандал – антифашист - fuck off» длительностью 02 минуты 17 секунд, «вандал - антифашист fuck off» длительностью 01 минуту 45 секунд, «вандал ублюдок антифашист» длительностью 01 минуту 46 секунд, «вандал [http://muz-vk.ru] - -антифашист- для загрузки воспользуйтесь ссылкой - http://muz-vk.ru/?audio_name=вандал» длительностью 01 минуту 45 секунд, «вандал [http://muz-vk.ru] - антифашист для загрузки воспользуйтесь ссылкой - http://muz-vk.ru/?audio_name=вандал» длительностью 02 минуты 15 секунд, «вандал [http://muz-vk.ru] – антифашист - fuck off для загрузки воспользуйтесь ссылкой - http://muz-vk.ru/? audio_name=вандал» длительностью 01 минуту 42 секунды, «вандал – антифашистриск off (неполная)» длительностью 01 минуту 42 секунды, «вандал [http://muz-vk.ru] - антифашист - fuck off для загрузки воспользуйтесь ссылкой - http://muz-vk.ru/?audio_name=вандал» длительностью 02 минуты 09 секунд, «бр идут - вандал – антифашист fuck off» длительностью 02 минуты 16 секунд, «неизвестен - вандал - антифашист» длительностью 02 минуты 15 секунд, «секира перуна - антифашист - fuck off» длительностью 02 минуты 11 секунд, «брито2 - анти» длительностью 02 минуты 15 секунд, начинающихся словами: «анархист, красный (нецензурное слово), наркоман и пацифист…», заканчивающихся словами: «…антифашист (повторяется 3 раза) fuck off! (повторяется три раза)»; (",26.900000000000002
2347,"запись «киборг - слава русским, нет россиянам» названием «киборг - слава русским, нет россиянам» названием: «коловрат - белая гвардия ветеранов» аудиозапись «киборг - слава русским, нет россиянам»","аудиофайл под названием «киборг - слава русским, нет россиянам» (",31.800000000000004
2348,None,None,None
2349,None,None,None
2350,книги «40 хадисов имама ан-навиви» книгу «земная жизнь и ее блага» книга «земная жизнь и ее блага»,"книга мустафы аль-буга, мухйи-д-дин мисту, «40 хадисов имама ан-навиви», казань, без года издания, 615 страниц (",31.800000000000004
2351,группы «коловрат» аудиофайл «без названия – я ненавижу коммунистов» песни «я ненавижу коммунистов» файл «без названия – я ненавижу коммунистов»,"текст песни группы «коловрат» под названием «я ненавижу коммунистов», автором и исполнителем которой является герасимов денис андреевич (",51.499999999999986
2352,None,None,None
2353,названием«f.p.g.»- «ботинки» названием «f.p.g.»,"3 аудиозаписи: «железный порядок – белые шнурки», «f.p.g. – ботинки», «коловрат – гордость за расу и нацию» (",42.3
2354,None,None,None
2355,None,None,None
2356,аудиозаписи «25/17 – линия фронта» аудиозаписи «грот - дым» аудиозаписи «25/17 – линия фронта пу мск» группы «грот 25/17»,"аудиоматериал «25/17 - линия фронта», длительностью 03 минуты 42 секунды, начинающийся словами: «бомбардировщики не бомбят, танки не наступают...» и заканчивающийся словами: «...береги мозги. не забывай о главном», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",41.19999999999999
2357,None,None,None
2358,None,None,None
2359,видеозапись «хамзат гелаев – черный ангел» запись «хамзат гелаев – черный ангел»,видеофайл «хамзат гелаев - черный ангел.flv»,29.200000000000003
2360,запись «тимур муцураев - они ушли …» видеозапись «тимур муцураев - они ушли …»,"видеозапись «тимур муцураев – иерусалим *1998 г.*» длительностью 9 минут 37 секунд, размещенная на сайте www.youtube.com по электронному адресу: http:// www.youtube.com/watch?v=xrbideonmha (",5.199999999999999
2361,None,None,None
2362,None,None,None
2363,None,None,None
2364,аудиозаписи: «» группы «»,"аудиозаписи: «p.s.7.62 - «белые воины», «rgd 88 - «черные рожи», «tnf - «шторм», «банда москвы - «иммигрант», «банда москвы - «определись!», «банда москвы - «отряды нс», «банда москвы - «ребята коловрата», «железный порядок - «белые шнурки», «коловрат - «не покупай у чурок!», «коловрат - «правый скинхед», «русский стяг - «мы - русские люди», а также фотографии в количестве 12 штук: №№ 105, но, 114, 130, 153, 157, 158, 207, 208, 219, 226, 227, размещенные на страницы группы «белый курган» на интернет-ресурсе http://vk.com/dfsdffsd (",0.6
2365,слов «что означают цифры 14/88?»,"видеоролик «барыга узбек чурка с.ка хач мразь убивай хачей 14_88 еб..шь черножопых.mр4» продолжительностью 07 минут 55 секунд, начинающийся со слов «итак, сейчас у нас в гостях... кто ты по нации... татарин у нас в гостях» и заканчивающийся словами «для торговцев должен быть страх перед тем, что с ними сделают те, кто их ловит...», размещенный в информационно- телекоммуникационной сети интернет» по адресам: http://vk.com/id-igor_ akimov https://vk.com/videos-63661266?z=video-63661266_166816310%2fclub 63661266 %2fp1_-63661266 _-2, https://vk.com/videosl15294931?z=video5379633_167665487%2fpl_ 115294931_ -2 (",7.199999999999999
2366,аудиозапись «галерея памяти» запись «галерея памяти»,"видеофайлы «мусульмане, где вы??? – проданные крылья джихада», «тимур муцураев – иерасулим», «чеченцы о войне в чечне», «шамиль басаев – правда про беслан», «shamil basaev», аудиофайлы «тимур муцураев – галерея памяти», «тимур муцураев – о русь, забудь былую славу», «тимур муцураев – салман радуев», текст песни «тимур муцураев – галерея памяти шахиды» (",24.6
2367,видеозапись «format 18» записью «format 18» аудиозапись «аргентина - секс драка (полная версия)» запись «аргентина - секс драка (полная версия)» названием «аргентина - секс драка (полнач версия)» названием «аргентина - секс драка (полная версия)» запись «format 18» видеозаписью «format 18»,аудиозапись «аргентина – секс драка (полная версия) 3:54» (,40.09999999999998
2368,None,None,None
2369,названием «грот и 25/17 – дым» группы «грот»,"информация в виде изображения, содержащего надпись «русский проснись! враг хозяйничает на твоей земле!», изображения, содержащего надписи «я патриот это моя земля!!! это моя родина!!! славянин! хватит спать родина в беде! родине нужна твоя воля! вступай в ряды националистов», видеозапись «напиток и луперкаль», видеофайл «напиток и луперкаль.mp4», видеозапись «брунсвиг-белый отряд», видеофайл «брунсвиг-белый отряд.mp4», видеозапись «грот и 25/17- просыпайтесь», видеофайл «грот и 25_17- просыпайтесь.mp4», видеозапись «слава руси!!!», видеофайл «слава руси.mp4», видеозапись «бей чурбанье!!! бей чурок!!!», видеофайл «бей чурбанье бей чурок.mp4», аудиозапись «12 июня - россия для других, русь - мать для меня!», аудиофайл «12 июня.mp3», размещенные в глобальной сети «интернет» по адресу http://vk.com/id133320504 пользователем «виктор владимиров» (",28.900000000000002
2370,записью «alai oli- зачем ты под черного легла? (ттп-купчино)» видеозаписью «alai oli- зачем ты под черного легла? (ттп-купчино)» запись: «alai oli- зачем ты под черного легла? (ттп-купчино)» видеозапись: «alai oli- зачем ты под черного легла? (ттп-купчино)»,"материал, расположенный в сети интернет на сайте « » на странице под названием «марк пельц», с электронным адресом: «http://vk.com/id252604712», а именно графическое изображение, визуально разделенное на два фрагмента, на одном из которых изображена чернильница с пером, на другом мужчина и женщина с пояснительной надписью «чернильница бывает двух видов» с прикрепленными к нему аудиофайлами, среди которых файлы под названием: «шмели – бритоголовые девчёнки (я ненавижу русских шлюх), продолжительностью 02мин. 50сек.; «alai oli - зачем ты под чёрного легла?», продолжительностью 04мин. 42сек.; «kaffa – девочка – чернильница», продолжительностью 04мин. 16сек. (",13.800000000000004
2371,"слов «о, аллах, мир окутан страшной мглой …»","информационные материалы - записи песен, предположительно, автора и исполнителя муцураева тимура хамзатовича (хасановича), содержащиеся на носителе - компакт-диске под номерами файлов: № 5 песня «и распахнутся ворота...»; № 7 песня «в мечтах и грезах смутно виден рай...»; № 8 песня «мир, содрогнись и на колени встань...»; № 11 песня «звучит коран, ему внимают нахи...»; № 12 песня «о аллах, мир окутан страшной мглой!...»; № 15 песня «нам ниспослана милость от грешных услад...»; № 20 песня «багрово на закате солнце...»; № 21 песня «пустынны улицы аварского села...»; № 25 песня «агрессоры в селе алхан-кала...»; № 26 песня «тюрьма племен, империя-палач...»; № 31 песня «спустилась тьма, безмолвие в горах...»; № 36 песня «туман над горами встает...»; № 40 песня «вставай чечня, пора в поход!...»; № 56 песня «снова начинается день...»; № 61 песня «в бой сыны кавказа, лучшие сыны...»; № 70 песня «чеченцы, услышьте, услышьте мой зов...»; № 78 песня «ночь холодна, опасен путь...»; № 82 и № 91 песня «черных дней череда, трудный час наступил...»; № 96 песня «по меньшей мере, войны шли лет триста...», № 98 песня «еще один рывок, еще рывок вперед...» (",31.500000000000004
2372,None,None,None
2373,материалы «тимур муцураев – эй шахид» аудиозаписей «тимур муцураев – эй шахид» аудиоматериалы «тимур муцураев – эй шахид»,"видеофайлы «мусульмане, где вы??? – проданные крылья джихада», «тимур муцураев – иерасулим», «чеченцы о войне в чечне», «шамиль басаев – правда про беслан», «shamil basaev», аудиофайлы «тимур муцураев – галерея памяти», «тимур муцураев – о русь, забудь былую славу», «тимур муцураев – салман радуев», текст песни «тимур муцураев – галерея памяти шахиды» (",6.8999999999999995
2374,None,None,None
2375,"названием ""они ушли"" названием «они ушли» запись ""они ушли"" аудиозапись ""они ушли""","аудиоматериалы, размещенные на интернет-ресурсе http://vkontakte.ru/id94170133: «они ушли», «таухид», «удар клинка», «чечня в огне», «шахид» (",24.6
2376,названием «грот и ант (25-17) - дым» аудиофайл «грот и ант (25-17) - дым» названием «грот-дым. mp.3» файл «грот и ант (25-17) - дым» аудиозаписи «грот и ант (25-17) - дым»,"информация в виде изображения, содержащего надпись «русский проснись! враг хозяйничает на твоей земле!», изображения, содержащего надписи «я патриот это моя земля!!! это моя родина!!! славянин! хватит спать родина в беде! родине нужна твоя воля! вступай в ряды националистов», видеозапись «напиток и луперкаль», видеофайл «напиток и луперкаль.mp4», видеозапись «брунсвиг-белый отряд», видеофайл «брунсвиг-белый отряд.mp4», видеозапись «грот и 25/17- просыпайтесь», видеофайл «грот и 25_17- просыпайтесь.mp4», видеозапись «слава руси!!!», видеофайл «слава руси.mp4», видеозапись «бей чурбанье!!! бей чурок!!!», видеофайл «бей чурбанье бей чурок.mp4», аудиозапись «12 июня - россия для других, русь - мать для меня!», аудиофайл «12 июня.mp3», размещенные в глобальной сети «интернет» по адресу http://vk.com/id133320504 пользователем «виктор владимиров» (",11.800000000000004
2377,None,None,None
2378,None,None,None
2379,None,None,None
2380,групп «коловрат»,музыкальное произведение «радикальный голос» группы «коловрат» (,22.6
2381,None,None,None
2382,запись «коловрат - правый скинхэд» аудиозапись «коловрат - правый скинхэд»,размещенная байкаловым никитой игоревичем в сети интернет на странице «сергей правый» сайта www.vkontakte.ru аудиозапись «велимор – коловрат. россия» (,5.199999999999999
2383,названием: «юрий мухин. тоска по сталину. часть 1.mp4» видеозапись «юрий мухин. тоска по сталину. часть 1.mp4» запись «юрий мухин. тоска по сталину. часть 1.mp4»,"видеоролики под названием «белый владимир» и «белый владимир часть вторая», распространяемые в социальной сети « » страницы пользователей «юрий еременко» (http://vk/com/id07457828) и «антон spirit88» (http://vk.com/id145991795) (заочное",7.199999999999999
2384,None,None,None
2385,видеозапись «злая россия» запись «злая россия»,"видеофонограммы, размещенные на странице под именем «сергей комлев» на сайте социальной сети « » по ссылке http://vkontakte.ru/id49864195: «злая россия»; «задумайтесь, славяне!!!»; «чеченских детей с детства учат, что они должны убивать русских» (",24.6
2386,None,None,None
2387,None,None,None
2388,None,None,None
2389,"названием «славяне... слава руси! ответ кавказу!» словами «уж ты, порушка-параня» словами «что головушка кудрява»","видеозапись, продолжительностью 4 минуты 01 секунды, начинающаяся изображением обезьян с подписью «сход совета старейшин кавказа» и заканчивающаяся изображением двух мужчин (слева – кавказского, справа – славянского типа внешности), которая сопровождается аудиозаписью, начинающейся словами «уж ты, порушка-параня» и заканчивающейся словами «что головушка кудрява», имеющая названия «славяне… слава россии», «славяне слава руси», «славяне. слава руси! ответ кавказу! 88» (",87.89999999999996
2390,названием «враги всех народов жиды» видеоролик «olai-oli-зачем ты под черного легла?» названием «александр харчиков «жиды» названием «еврейская мафия.» названием «кто такие евреи (девид дюк)» названием «зачем ты под черного легла?» названием «я русский-это не значит нацист!»,"видеозапись: «враги всех народов жиды», продолжительностью 3 минуты 26 секунды, начинающаяся со слов «на сердце тоска» и заканчивающаяся словами «исчадие ада- жиды», размещенная в социальной сети « » информационно-телекоммуникационной сети «интернет» на странице пользователя (http://vk.com/id215240269) (",37.79999999999998
2391,None,None,None
2392,None,None,None
2393,видеофайл «скинхеды» запись «скины» видеозапись «скины» файл «скинхеды» названием «скины» видеоролик «коловрат – московские бритоголовые»,"видеоролики с названием «за..ли кавказцы», «московские скинхеды», «националисты», «обращение к русским», «подольские скины», «россия без ... », «рус, проснись», «русский забивает вонючего чурбана», «русский народ устал терпеть», «русский национализм», «русский очнись, против тебя идет война», «русский очнись», «русский проснись», «фанаты избили нерусских», «я не фашист я русский», размещенные филатовым виктором михайловичем в сети интернет на своей персональной странице в сети « », имеющей адрес: http://vk.com/idl4338873 (",47.499999999999986
2394,материалов: «14/88–трус не ебашит хачей»,"музыкальная композиция группы 14/88 под названием «трус не е…(н/ц)…т хачей», размещенная на странице пользователя сайта « » по адресу: www.vk.com/id21136727209 (дмитрий сухих) (",11.500000000000004
2395,"запись «12 тысяч моджахедов, начинающаяся словами багрово на закате солнце …» аудиозапись «12 тысяч моджахедов, начинающаяся словами багрово на закате солнце …»","аудиозапись под названием «тимур муцураев - 12000 муджахедов.mр3» продолжительностью 04 мин. 45 сек., начинающаяся словами: «багрово на закате солнце...» и заканчивающаяся словами «все ж покорим йерусалим» (",16.700000000000006
2396,None,None,None
2397,None,None,None
2398,"аудиофайла «бледный (25-17) – просыпайтесь» записью «грот-дым» словами «…сестры и братья, просыпайтесь, пока не поздно!» аудиофайл «25-17 – просыпайтесь!» словами: «у тебя не было ощущения. что ничего хорошего…» аудиофайл «бледный (25-17) – просыпайтесь» файл «25-17 – просыпайтесь!» файла «бледный (25-17) – просыпайтесь» файл «бледный (25-17) – просыпайтесь» аудиозаписью «грот-дым»","аудиоматериал «25-17 - просыпайтесь!», длительностью 02 минуты 49 секунд, начинающийся словами: «у тебя не бывало ощущения. что ничего хорошего...» и заканчивающийся словами: «...сестры и братья, просыпайтесь, пока не поздно!», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",80.19999999999996
2399,None,None,None
2400,аудиозапись «коловрат кров патриотов» песни «коловрат- кровь патриотов» запись «коловрат кров патриотов» названием «коловрат кровь патриотов» аудиозаписи «коловрат - кровь патриотов»,"аудиофайлы «банды москвы-молодой скинхэд», «коловрат-герои р.о.а.» «коловрат- кровь патриотов», «коловрат-радикальный голос», «коловрат-россия», видеозаписи «про скинов)», «россия для русских», размещенные в сети интернет в социальной сети « » на интернет-странице пользователя «виктор пикатов» по адресу http://vk.com/id97669321 (",85.19999999999999
2401,статьи «теория вселенной и объективная реальность»,"сборник статей «возможности разума», включающий статьи «теория вселенной и объективная реальность», «замалчиваемая история россии», «последняя ночь сварога», «укрощение строптивых», «засуха», «кому и зачем понадобилась комната «темной» материи», «блаженны нищие духом», «о пророках, лжепророках и вообще…», «диагноз - провокация!», «к вопросу о духовности», «театр абсурда», «зримый и незримый геноцид», «антироссийский антициклон», автором которого является левашов николай викторович (",29.500000000000004
2402,None,None,None
2403,запись «скин» видеозапись «скин»,"видеозапись «скины накрыли антифа», размещенная пользователем соколовым а.с. на интернет-странице http://vk.com/sokolov1488 в социальной сети « » (",22.900000000000002
2404,None,None,None
2405,None,None,None
2406,аудиозапись «тимур муцураев» запись «тимур муцураев»,"аудиозапись под названием «тимур муцураев - 12000 муджахедов.mр3» продолжительностью 04 мин. 45 сек., начинающаяся словами: «багрово на закате солнце...» и заканчивающаяся словами «все ж покорим йерусалим» (",25.200000000000003
2407,видеоролик «ислам»,"видеоролик «раскрыт заговор исламистов в медуниверситете», размещенный в социальной сети « » боковым дмитрием владимировичем по адресу http://vk.com/id40892599 (",22.6
2408,"слово», «правильное образование» названием «игры богов часть5.1- правильное образование» видеоматериала «игры богов часть 5.1 – правильное образование» названием «игры богов часть 5.1 – правильное образование» видеоролику «игры богов- правильное образование» материала «игры богов часть 5.1 – правильное образование» файл) «игры богов часть 5.1 – правильное образование» видеофайл) «игры богов часть 5.1 – правильное образование» фильмов «игры богов»","цикл фильмов «игры богов», состоящий из восьми актов: «театр», «артисты и зрители», «эстетика», «общение. музыка. слово», «правильное образование» (в трех частях), «славянские привычки», «живой огонь» (в четырех частях), «мир» (в двух частях) (",73.79999999999998
2409,названием «иерусалим»,"размещенной в сети «интернет» стихотворный текст под названием «ломоносов. ода на взятие иерусалима», начинающийся со слов «восторг внезапный ум пленил, ведет наверх горы сионской...» и заканчивающийся словами «работать? – никогда! нигде! лишь только предаваться пьянству» (",22.6
2410,запись «грот и 25/17» группы «грот и 25/17» аудиозапись «грот и 25/17»,"информация в виде изображения, содержащего надпись «русский проснись! враг хозяйничает на твоей земле!», изображения, содержащего надписи «я патриот это моя земля!!! это моя родина!!! славянин! хватит спать родина в беде! родине нужна твоя воля! вступай в ряды националистов», видеозапись «напиток и луперкаль», видеофайл «напиток и луперкаль.mp4», видеозапись «брунсвиг-белый отряд», видеофайл «брунсвиг-белый отряд.mp4», видеозапись «грот и 25/17- просыпайтесь», видеофайл «грот и 25_17- просыпайтесь.mp4», видеозапись «слава руси!!!», видеофайл «слава руси.mp4», видеозапись «бей чурбанье!!! бей чурок!!!», видеофайл «бей чурбанье бей чурок.mp4», аудиозапись «12 июня - россия для других, русь - мать для меня!», аудиофайл «12 июня.mp3», размещенные в глобальной сети «интернет» по адресу http://vk.com/id133320504 пользователем «виктор владимиров» (",27.500000000000004
2411,группы «»,"размещенные васильевым р.в. в сети «интернет» на созданной им общедоступной странице «роман <&got> васильев» в социальной сети « » по электронному адресу: http://vk.com/vandal31, видеоролик, содержащий психологические и лингвистические признаки призыва возбуждения ненависти, вражды в отношении группы лиц, объединенных по признаку национальной принадлежности, файл под названием «фотография 7», файл под названием «фотография 8», видеоролик под названием «формат 18)))» (",0.6
2412,"брошюра «была ли жизнь создана?» брошюру «что от нас требует бог» брошюру «была ли жизнь создана?» журналы «сторожевая башня возвещает царство иеговы» брошюра «что от нас требует бог» журналов «сторожевая башня возвещает царство иеговы» брошюры «сторожевая башня» журналы «пробудитесь» журналов «пробудитесь» брошюр «сторожевая башня» брошюра «учимся в школе теократического служения» брошюра «самый великий человек, который когда-либо жил» брошюра «добрая весть от бога»","журнал «сторожевая башня возвещает царство иеговы» «кто действительно верит библии?» от 15.10.1998 изд. watch tower bible und traktat - gesellschaft deutscher zwelg, v., selters/taunus (",62.09999999999998
2413,материал «тимур муцураев -они ушли» видеофайла «тимур муцураев -они ушли» файла «тимур муцураев -они ушли» материал «тимур муцураев - они ушли» видеоматериал «тимур муцураев - они ушли»,"информационные видеоматериалы, размещенные в информационно-телекоммуникационной сети «интернет» на страницах сайтов: - http://www.youtube.com/watch?v=oiq5iitl41s - «тимур муцураев» – оппозиционер.wmv», - http://kivvi.kz/watch/da7oedm0q8gs/ – «посвящается предателям чечни», - http://www.youtube.com/watch?v=9rq9pk6dgew – «тимур муцураев» (",9.200000000000003
2414,None,None,None
2415,None,None,None
2416,видео-файл «свобода недочеловека» файл «свобода недочеловека» названием «свобода недочеловека.mp4»,фильм «свобода недочеловека» из цикла «вождь советского союза» (,28.6
2417,None,None,None
2418,аудиозапись «1488 - россия для русских» названием «1488 - россия для русских» файл «русский стяг - марш жестокой молодости» файл «1488 - whitepower» названием «14!88 - россия для русских» запись «1488 - россия для русских» файл «коловрат - слава россии!!!»,"следующие информационные материалы, размещенные в информационно-телекоммуникационной сети интернет по сетевому адресу http://www.vk.com/stas_gritsay: – видеозапись «бьют чурок!.mp4»; – видеозапись «дали пи**ы хачам.mp4»; – видеозапись «национал алисисты пи**ят хача.mp4»; – видеозапись «отпи**или чурок (всё правильно ну всё как там кричали, они русских убивают, чего вы их защищаете хачи.mp4»; – видеозапись «слава руси! смерть врагам! sieg heil!!!.mp4»; – аудиозапись «1488-россия для русских..mp3»; – аудиозапись «коловрат -анти-антифа ].mp3»; – аудиозапись «коловрат – правый скинхед.mp3»; – аудиозапись «коловрат [waptorrent.ru] - не покупай у чурок. mp3»; – файл (изображение) «2rzb641k5zw»; – файл (изображение) «7-0bfhyi7t4»; – файл (изображение) «9devyjxn52i»; – файл (изображение) «43z7dej3seo»; – файл (изображение) «aicw3reu8fw»; – файл (изображение) «dcaqeire5wi»; – файл (изображение) «egc3rnr65zq»; – файл (изображение) «elhmy6dayi4»; – файл (изображение) «ferj2nzf5lm»; – файл (изображение) «i2kmvwpv7ea»; – файл (изображение) «jp9cb0seba»; – файл (изображение) «kl_bi-2xwsm»; – файл (изображение) «lmqz1p2p3j0»; – файл (изображение) «o8403ifhj54» (",47.29999999999997
2419,названием «тимур муцураев - иерусалим»,"видеозапись «тимур муцураев – иерусалим *1998 г.*» длительностью 9 минут 37 секунд, размещенная на сайте www.youtube.com по электронному адресу: http:// www.youtube.com/watch?v=xrbideonmha (",26.900000000000002
2420,песни «» видеоролик «»,текст песни и видеоролик «тимур муцураев – исламская умма» продолжительностью около 5 мин. 40 сек. (,0.6
2421,названием «грот и 25/1» названием «грот и 25/17 – просыпайтесь»,"информация в виде изображения, содержащего надпись «русский проснись! враг хозяйничает на твоей земле!», изображения, содержащего надписи «я патриот это моя земля!!! это моя родина!!! славянин! хватит спать родина в беде! родине нужна твоя воля! вступай в ряды националистов», видеозапись «напиток и луперкаль», видеофайл «напиток и луперкаль.mp4», видеозапись «брунсвиг-белый отряд», видеофайл «брунсвиг-белый отряд.mp4», видеозапись «грот и 25/17- просыпайтесь», видеофайл «грот и 25_17- просыпайтесь.mp4», видеозапись «слава руси!!!», видеофайл «слава руси.mp4», видеозапись «бей чурбанье!!! бей чурок!!!», видеофайл «бей чурбанье бей чурок.mp4», аудиозапись «12 июня - россия для других, русь - мать для меня!», аудиофайл «12 июня.mp3», размещенные в глобальной сети «интернет» по адресу http://vk.com/id133320504 пользователем «виктор владимиров» (",53.19999999999999
2422,None,None,None
2423,None,None,None
2424,None,None,None
2425,группы «коловрат»,музыкальное произведение «радикальный голос» группы «коловрат» (,22.6
2426,названием «….» названием «…»,"видеоматериал, содержащийся в видеофайле под названием: «обращение амира ик доку абу усмана и амира супьяна к моджахедам идеаль-урала, вилайятам татарстан и башкортостан», размещенный на сайте сети интернет по адресу: http://vk.com/video156771693_161941156 (",40.599999999999994
2427,названием «бойцовский клуб» группы «cwt»,аудиозапись «cwt - бойцовский клуб» (,46.89999999999999
2428,названием «дюшес – я рисую белым мелом 14/88» названием «14/88 – я рисую на асфальте белым мелом»,аудиофайл под названием «дюшес - я рисую белым мелом 14/88» (,46.39999999999998
2429,"запись «русский, очнись! против тебя идёт война!» видеозапись «русский, очнись! против тебя идёт война!»","видеоролик «русский, очнись! против тебя идет война!», размещенный гончаровым о.в. на интернет-странице по адресу http://vkontakte.ru/id50692184, в социальной сети « ру» (",11.500000000000004
2430,None,None,None
2431,None,None,None
2432,None,None,None
2433,"слов «о аллах, мир окутан страшной мглой!...» слов «багрово на закате солнце»","информационные материалы - записи песен, предположительно, автора и исполнителя муцураева тимура хамзатовича (хасановича), содержащиеся на носителе - компакт-диске под номерами файлов: № 5 песня «и распахнутся ворота...»; № 7 песня «в мечтах и грезах смутно виден рай...»; № 8 песня «мир, содрогнись и на колени встань...»; № 11 песня «звучит коран, ему внимают нахи...»; № 12 песня «о аллах, мир окутан страшной мглой!...»; № 15 песня «нам ниспослана милость от грешных услад...»; № 20 песня «багрово на закате солнце...»; № 21 песня «пустынны улицы аварского села...»; № 25 песня «агрессоры в селе алхан-кала...»; № 26 песня «тюрьма племен, империя-палач...»; № 31 песня «спустилась тьма, безмолвие в горах...»; № 36 песня «туман над горами встает...»; № 40 песня «вставай чечня, пора в поход!...»; № 56 песня «снова начинается день...»; № 61 песня «в бой сыны кавказа, лучшие сыны...»; № 70 песня «чеченцы, услышьте, услышьте мой зов...»; № 78 песня «ночь холодна, опасен путь...»; № 82 и № 91 песня «черных дней череда, трудный час наступил...»; № 96 песня «по меньшей мере, войны шли лет триста...», № 98 песня «еще один рывок, еще рывок вперед...» (",60.699999999999974
