,predicted,case_number,category
88,"аудиовизуальные файлы (видеоролики), размещенные в социальной сети « » информационно-телекоммуникационной сети «интернет» на странице пользователя (http://vk.com/id67775391): уроки терроризма от скина =) (http://vk.com/video67775391_165551940); русский бунт, пи…да хачам! (http://vk.com/ video 67775391_163547395); русские смотрите!!! так нас убивают!!! а где же месть??? (http://vk.com/video 67775391_162075553); чеченцы убивают русского (http://vk.com/ video67775391_162075262); русский дембель избил хача (http://vk.com/video 67775391_165207539); русские вперед хачи помрите (http://vk.com/video67775391_ 163547385); два пьяных чеченских уе…ка и русский парень с девушкой (http://vk.com/video67775391_163415982); как относятся эти уроды гниды черно….е к русским людям в ихней стране и почем (http://vk.com/video67775391_ 162075723); почему русские парни должны убивать нерусских (http://vk.com/video67775391_162075398); тесак рассказывает почему скины мочат хачей толпой (http:/7vk.com/video67775391_165551939); хач-лопух (http://vk.com/video67775391_ 165697159); отец наказывает дочь подстилку и чернильницу (http://vk.com/video 67775391_ 167165456); враги убивают русскую (http://vk.com/video67775391_162075336); так хачу и надо, вообще оборзели пи…ры (hrtp://vk.com/video 67775391_163415610); день вдв избил чурку на тц гостиный двор (http://vk.com/video67775391_165546221) (",8,
89,"аудиозаписи под названием «14\ /88 - зиг хай», «1488 - зига, зага, ой», «1488 [vkhp.net] - слава россии! слава руси!», размещенные на интернет-странице https.//vk.com/id206705711 (",8,
90,"лозунг «православие или смерть!», размещенный в интернет-ресурсе www.russiansymbol.ru (",8,
91,аудиозапись под названием «смерть цунарефам» исполнитель коррозия металла (,8,
92,"информационный материал в виде текста статьи «правила по созданию агрс (автономных групп российского сопротивления), начиная со слов «молот. я предлагаю поиску и владимиру разделить....» и, заканчивая словами «... наша цель-создание русского государства (руси)», размещенный в сети интернет на сайте «poiskpravdy.com» «поиск правды – только корнями живы ветви» по электронному адресу: http://poiskpravdy.com/agrsavtonomnye-gruppy-russkogo-soprotivleniya/#more3830 (",8,
93,"- «лихие 90-е скинхеды.mp4» – видеофонограмма продолжительностью 02 мин. 01 сек. видеоролик содержит сцену разгрома продуктового рынка толпой скинхедов – бритоголовых мужчин с битами. толпа несет транспаранты, в том числе с надписью «россия для русских»",8,
94,"видеоматериал - «ислам победит!», продолжительностью около 1 минуты 20 секунд (",7,
95,"речь в храме отца василия - новикова в.н., размещенную как информационный материал на диске dvd-r № map 702ll 13174652 а2 с надписью на лицевой стороне «+православие или смерть» (",7,
96,"видеозаписи с именами: «_читай!_абу юсуф. обращение к русским и украинцам. youtube.mp4» и «я католичка и я попаду в ад_-youtube.mp4», размещенные в социальной сети « » по адресу: http://vk.com/id143205170 (",7,
97,"текст песни группы «коловрат» под названием «московские бритоголовые», автором и исполнителем которой является герасимов денис андреевич (",7,
98,"видеоролики: «наставление (катехизис) еврея в ссср изъят в 1961», «русская революция», «злая россия - you must murder» (",7,
99,"видеофайл «видео: док. фильм «русское сопротивление», размещенный по адресу http://bashtube.ru/video/45183/ (",7,
100,"информационный материал текст аудиофайла: «1488 – я рисую белым мелом 14_18» длительностью 2 мин. 53 сек., расположенный по адресу: http://vк.com (",7,
101,"фильм «иерусалим обещание небес»», содержащийся на двд-диске (",7,
102,"видеофильм под названием «гробы для американцев», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 (",7,
103,"аудиоматериал «русский стяг - мы идем», длительностью 02 минуты 47 секунд, начинающийся словами: «поднимайтесь братья с нами, знамя русское...» и заканчивающийся словами: «...дорогу к стенам древнего кремля! мы идем! мы идем! мы идем!», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",7,
104,"аудиозапись «скины - слава россии», продолжи¬тельностью 2 минуты 05 секунд, начинающаяся словами «три ярких цвета - это рос¬сийский флаг, если ты не патриот, ты не русский...», заканчивающаяся словами «... под стягами коловрата, слава руси, и кроме руси ребятам ничего не надо», распространенная посредством сети «интернет» по адресам: – http://vkmp3.org/mp3/%d0%a1%d0%9a%d0%98%d0%9d%d0%ab%20% d0%a0% d0%9e%d0%a1%d0%a1%d0%98%d0%98/; – http://iplayer.fm/song/8389242/skiny_-_slava_rossii/; – https://xmuzic.me/s/3324391-skiny_-_slava_rossii/; https://vk.com/audios143411610?q=%d1%81%d0%ba%d0%b8%d0%bd%d1% 8b%20%d1%81%d0%bb%d0%b0%d0%b2%d0%b0%20%d1%80%d0%be%d1%81%d1%81%d0%b8%d0%b8 (",7,
105,"аудиозапись под названием «русский стяг (русь великая), mp3, аудиозапись под названием «русский стяг (стальные орлы), mp3» (",7,
106,"аудиозаписи под названием «русский стяг ( я славянин), mp3, «русский стяг (убей) (",7,
107,"аудиозапись под названием «скинхед», исполнитель «коррозия металла» (",7,
108,"видеофайл с названием: «коловрат - московские скинхеды» (http://vkontakte.ru/video41789778_155891687), размещенный в международной компьютерной сети «интернет» на информационной странице пользователя «александр кадынцев» (http://vkontakte.ru/id141789778) (",6,
109,музыкальное произведение «знак судьбы» группы «коловрат» (,6,
110,"текстовая часть аудиозаписи «ансамбль христа спасителя и мать сыра земля» под названием «убивай космонавтов», длительностью 03 минуты 27 секунд, начинающаяся словами: «я упорный сторонник народной расправы...» и заканчивающаяся словами: «... убивай космонавтов! на...(нецензурное слово) их! убивай их в п...(нецензурное слово)», размещенная в разделе «аудиозаписи» (https://vk.com/audios180231004) на интернет-сайте «vk.com» (",6,
111,"размещенные волковым к.а. в социальной сети « » по электронному адресу: http: vk.com\kashey_88, материалы, следующего содержания: – фотография рисунка, на котором изображен мужчина с топором на фоне гор, с надписью «бери топор встречай гостей с гор!»; – составленная из четырех частей фотография: три надписи «русская баня», «римская баня», «финская баня», «еврейская баня», сопровождаемая изображением печей, аналогичных тем, в которых сжигали людей в фашистских концлагерях; – четыре фотографии в одной, оформленные в стиле комикса, изображающие диалог между героями фильма «криминальное чтиво» в исполнении дж. траволты и с. джексона: «знаешь, почему машины чаще сбивают негров зимой? почему? их легче увидеть…»; – фотография футбольного судьи, поднявшего руку с открытой вперед ладонью, перед ним, у стоящего спиной к зрителю футболиста на футболке написан номер 88 и имя hitler; – фотография актера э. хопкинса в роли ганнибала лектора персонажа фильма – маньяка-убийцы, людоеда, подпись «не любите кавказцев? вы просто не умеете их готовить…»; – фотография гриба с нацистской символикой (правосторонняя свастика, вольфсангель, кельтский крест); надпись сверху «белый гриб»; стилизованная под готический шрифт надпись на ножке гриба «white poweт»; – фотография с изображением гитлера, брейвика, чикатило, сталина, бен ладана, надпись сверху «ну как можно злиться», снизу – «на таких няшек?»; – фотография, на которой изображены пятеро мужчин, предположительно выходцев с кавказа, трое из них несут барана; подпись «у кого-то сегодня будет секс»; – фотография из двух частей: верхняя часть содержит изображение девушки (на ее футболке надпись «девушка кавказца»), молодого человека (на его футболке надпись «кавказец»), нижняя – стоящего на коленях молодого человека, изо рта которого льются рвотные массы; – фотография человека с внешностью, похожей на кавказскую; надпись сверху «в то время, когда ты читаешь это предложение, в россии умирает один хач», подпись снизу (более крупным шрифтом) «не удержался, прочитал еще раз»; – рисунок шести расположенных в ряд лиц, под каждым подпись «чурка», общая подпись снизу «не путайте»; – изображение, состоящее из четырех фотографий, оформленное в стиле комикса: на первой – группа из пяти молодых людей, предположительно выходцев с кавказа (надпись сверху «любить кавказцев», снизу «не реально»), на второй – портрет а. гитлера (надпись сверху «но я, мечту свою», снизу «лелея»), на третьей – белый квадрат с надписью «решил проблему гениально», на четвертой изображены печи для сжигания людей в фашистских концлагерях с надписью «сожжём в печи их как евреев»; – текст «если русские встанут, кавказ ляжет!» (крупным шрифтом), «мы за сильную россию! за великую русь!»; – рисунок крокодила с открытой пастью, проглатывающего человека, похожего на хасида «holacoste» (",6,
112,"видеоматериал «запрещенная на тв социальная реклама в 2010/2», размещенный в глобальной сети интернет на сайте www.vkontakte.ru, на странице пользователя сети под ником «сергей сопов» (",6,
113,"книга «основы веры в свете корана и сунны» (автор салих ас-сухейми) – м., издатель а.н. факихи, а. аль-гамиди. – 3-е изд., исп., допол. – м.: издатель эжаев, 2008 г. – 304 с. (",6,
114,музыкальное произведение - аудиозапись «русский стяг - роа» продолжительностью около 5 минут 28 секунд (,6,
115,"лозунг «россия для русскихъ», размещенный в интернет-ресурсе www.russiansymbol.ru (",6,
116,книга «отведение сомнений» (,6,
117,"размещенный евстафьевым п…с… в социальной сети «http://vkontakte.ru» на интернет-странице http://vk.com/id6693858 аудиоматериал «the киборг – бритый и злой» (размером 2,97 мб) (",6,
118,аудиокомпозиция «солнце за нас» исполнителей «аргентина» и «околорэпа» (,6,
119,"видеоролик «банда москвы виват, россия! «отмахали цунора на nacxy.wmv» (",6,
120,"статья «путин в ярости. стыдно быть русским (запрещенное в россии видео)», размещенная в сети интернет на сайте «http://www.youtube.com/watch?v=plg1-favywe» (",6,
121,фильм «россия с ножом в спине. еврейский фашизм и геноцид русского народа» (,6,
122,"печатные (информационные) материалы: 1. брошюра «запретные дела, по отношению к которым люди проявляют небрежность, но которые необходимо избегать», автор мухаммад салих аль-мунаджид, место издания г. набережные челны, 2003 г., на 88 с.; 2. брошюра «тавба-покаяние. истигфар-просбба о прощении. плоды страха перед аллахом. поминание аллаха* чтение корана», автор не указан, место издания владивосток, 2004 г., на 74 с, в 2 экземплярах; 3. брошюра «страх смерти», автор идрис галяутдин, место издания г. набережные челны, год издания 2004, на 32 с.; 4. брошюра «380 больших грехов» («большие грехи»), автор ибн хаджар аль-хайтами, место издания г. махачкала, год издания 2010, на 35 с. (",6,
123,"размещенные пулькиным д.н. в сети «интернет» на сайте www.vkontakte.ru видеозапись «черная коза-)))» (файл «chernaya koza-))).flv»), аудиозапись «1488-я рисую белым мелом 14/88-ya risuyubelym melom 14_88.mp» (",6,
124,"аудиоматериал «25-17 - просыпайтесь!», длительностью 02 минуты 49 секунд, начинающийся словами: «у тебя не бывало ощущения. что ничего хорошего...» и заканчивающийся словами: «...сестры и братья, просыпайтесь, пока не поздно!», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",6,
125,"текст песни группы «коловрат» под названием «каратель «сс варяг» (song lyrics), автором и исполнителем которой является герасимов денис андреевич (",6,
126,"интернет-сообщество «мы за вступление россии в сша!», расположенное по электронному адресу: http://vk.com/accession_to_usa и информационные материалы в виде текстов, размещенных данным сообществом в сети интернет на сайте vk.com в группе «мы за вступление россии в сша!» по электронным адресам: - http://vk.com/accession_to_usa?w-wall-53986445_2, начиная со слов «наступил переломный момент…» и заканчивая словами «…под нашей петицией», - http://vk.com/accession_to_usa?w-wall-53986445_132332, начиная со слов «солдат! будь готов…» и заканчивая словами «…руки и крикнуть», - http://vk.com/accession_to_usa?w-wall-53986445_131587. начиная со слов «предатели русского народа…» и заканчивая словами «…только в составе сша», - http://vk.com/accession_to_usa?w-wall-53986445_13125, начиная со слов «одной из важнейших задач…» и заканчивая словами «…история русского народа начнется заново», - http://vk.com/accession_to_usa?w-wall-53986445_129627, начиная со слов «время быть…» и заканчивая словами «…уже сегодня», - http://vk.com/accession_to_usa?w-wall-53986445_129067, начиная со слов «им нужны великие потрясения…» и заканчивая словами «…мы за вступление россии в сша», - http://vk.com/accession_to_usa?w-wall-53986445_128732, начиная со слов «как вести себя…» и заканчивая словами «…свободных американских граждан», - http://vk.com/accession_to_usa?w-wall-53986445_123404, начиная со слов «ситуация в сирии…» и заканчивая словами «…дойдем и до москвы», - http://vk.com/accession_to_usa?w-wall-53986445_117778, начиная со слов «в сша появился…» и заканчивая словами «…с оружием и убивать», - http://vk.com/accession_to_usa?w-wall-53986445_113597, начиная со слов «в этом году исполняется…» и заканчивая словами «…стать частью поистине свободной страны», - http://vk.com/accession_to_usa?w-wall-53986445_110870, начиная со слов «прошу анонимно…» и заканчивая словами «…слава украiнi», - http://vk.com/accession_to_usa?w-wall-53986445_108992, начиная со слов «с самого начала существования…» и заканчивая словами «…великой державы? как думаете?», - http://vk.com/accession_to_usa?w-wall-53986445_100102, начиная со слов «россия практически никак…» и заканчивая словами «…бывшего ссср по своему сценарию», - http://vk.com/accession_to_usa?w-wall-53986445_68218, начиная со слов «7 июля 1989 г. на совещании в бухаресте…» и заканчивая словами «…в истории – сша», - http://vk.com/accession_to_usa?w-wall-53986445_66170, начиная со слов «из всех мифов…» и заканчивая словами «…помним, любим, скорбим!», - http://vk.com/accession_to_usa?w-wall-53986445_63098, начиная со слов «ракета-носитель «протон-м»…» и заканчивая словами «…поистине космических вершин!», - http://vk.com/accession_to_usa?w-wall-53986445_59581, начиная со слов «нас тысяча человек…» и заканчивая словами «…ура, господа», - http://vk.com/accession_to_usa?w-wall-53986445_33789, начиная со слов «кто должен управлять страной…» и заканчивая словами «богатой и процветающей», - http://vk.com/accession_to_usa?w-wall-53986445_26320, начиная со слов «все, кто был на курорте…» и заканчивая словами «…присоединения россии к сша», - http://vk.com/accession_to_usa?w-wall-53986445_20379, начиная со слов «сегодня мой отпуск…» и заканчивая словами «…то будет вдвойне чудесно», - http://vk.com/accession_to_usa?w-wall-53986445_12172, начиная со слов «20 июля 1969 года…» и заканчивая словами «…с россией в составе сша мы достигнем звезд», - http://vk.com/accession_to_usa?w-wall-53986445_11507, начиная со слов «мы считаем, что герб…» и заканчивая словами «петухом проснется и россия», - http://vk.com/accession_to_usa?w-wall-53986445_7543, начиная со слов «почему наш русский народ…» и заканчивая словами «…добъемся вхождения россии в состав сша!», - http://vk.com/accession_to_usa?w-wall-53986445_6041, начиная со слов «о геях и «русских патриотах»…» и заканчивая словами «…можешь ненавидеть сша сколько угодно», - http://vk.com/accession_to_usa?w-wall-53986445_2576, начиная со слов «нет никакой необходимости…» и заканчивая словами «…идеи? возражения?», - http://vk.com/accession_to_usa?w-wall-53986445_71, начиная со слов «владимир путин…» и заканчивая словами «…коррумпированная дума» (",6,
127,"видеоролик «русский, очнись! против тебя идет война!», размещенный гончаровым о.в. на интернет-странице по адресу http://vkontakte.ru/id50692184, в социальной сети « ру» (",6,
128,"текст песни группы «коловрат» под названием «красный террор», автором и исполнителем которой является герасимов денис андреевич (",6,
129,"видеозапись, под названием «бабушка – скинхед.mp 4», продолжительностью 10мин. 09 сек., начинающаяся со слов «здрасте бабуль, а чего продаете?», заканчивающаяся словами: «вот так русские люди должны бороться за свои права», размещенная в сети интернет по адресам: https://vk.com/videos165103565?q=%d0%b1%d0%b0%d0%b1%d1%83%d1%88%d0%ba%d0%b0%20%d1%81%d0%ba%d0%b8%d0%bd%d1%85%d0%b5% d0%b4&z=video165103565_170922862;https://vk.com/videos165103565?q=%d0% b1%d0%b0%d0%b1%d1%83%d1%88%d0%ba%d0%b0%20%d1%81%d0% ba%d0%b8%d0%bd%d1%85%d0%b5%d0%b4&z=video114973751_162556337; https://www.youtube.com/watch?v=flyamt3opkk;https://ok.ru/video/2376731257 (",6,
130,"видеофайлы, размещенные в социальной сети « » информационно-телекоммуникационной сети «интернет» на странице пользователя http://vk.com/id 48015810: - казнь хачей (теги_скинхеды,самосуд,хачи); - хороший отрывок из фильма россия 88 (рекомендую посмотреть фильм полностью); - nex company – толерантная россия; - бритоголовые 17 лет назад; - крэк – вечный рай (crack – eternal paradise); - гори, гори, гори жидяра; - настоятельно рекомендую девушкам; - ns_wp в дороге. (удельная); - запрещенный клип; - уильям пирс. за что ненавидят евреев; - поэма о жиде; - без названия; - для всех русских девушек; - ; - формат 18 (",5,
131,"аудиоматериал «25/17 - линия фронта», длительностью 03 минуты 42 секунды, начинающийся словами: «бомбардировщики не бомбят, танки не наступают...» и заканчивающийся словами: «...береги мозги. не забывай о главном», размещенный пользователем «максим шевчук» на официальном интернет-сайте на веб сервисе сайта «vk.com» (",5,
132,"следующие текстовые и графические материалы: 1. «надо ли выгонять нерусских из россии?»; 2. «…каждый народ должен жить в своей стране»; 3. «нерусские захватывают школы»; 4. «посмотрите мы сидим тут и пишем а пора действовать чистая белая раса умирает умеряет её убивают. бросайте курить пить берите оружие идите как наши предки шли за белый и красивый народ против тех кто издовно убивал калечил насиловал наших женщин и детей!»; 5. «народ все кто против мирового еврейского господства вступайте сюда»; 6. «здесь я предлагаю обсудить, надо ли гнать всяких грузинов, узбеков и киргизов с нашей родной земли. я считаю, что необходимо, так как 70% преступлений в россии совершаются приезжими. в эту статистику входят и убийства, и грабежи, и изнасилования. почему мы должны все это терпеть? ведь русские не едут в азербайджан грабить и насиловать. нужно оградить наш народ от пагубного потока из нерусских, хлынувшего из других стран в россию!»; 7. «не 70%, а 100% преступлений совершается против русских проклятыми приезжими. русский русского не обидить – русский народъ мирный. во всем виноваты чурки, спонсируемые жидами. это же элементарно!»; 8. «…не нада а нужно убивать оккупантов с азии, америки, израиля и прочего (…)!»; 9. «я считаю, что необходимо: 1. собрать всех иммигрантов (я имею в виду хачей, чеченов и всяких других китайцев) в одном месте. и не надо говорить, что это технически невозможно. нацисты смогли всех евреев собрать – смогли. а чем мы хуже? 2. создать спеицальные трудовые лагеря, гдн они будут (…), отрабатывая затраты русского государства на их депортацию. 3. а потом гнать их на (…). кто не уехал – расстреливать на месте. без капли сомнений! без ложной жалости! слава руси!»; 10. «это ужасно! когда приезжает орава таджиковъ, врывается в русскую православную гимназию, насилует школьниц, вскрывает горло ученикамъ, сжигает распятия, казнит священника, сжигает православную литературу, (…) и (…) прямо на пол, варят завуча в столовой чтоб приготовить свой проклятущий бишбармак… не (…) больше сил… больно за россию-матушку! такъ и хочется убивать жыдочурокъ!»; 11. «(…), приперлись в россию, еще че то (…), своей страны нет что ли, гнать их надо!!!!!!!!!!»; 12. графическое изображение паспорта гражданина казахстана с текстовой надписью <<(…)поймиктотытакой»; 13. текстовый материал в виде обсуждения «…зато она не взрывается в метро»; 14. изображение стреляющих ракетных установок в сопровождении подписи «русская свадьба в махачкале должна выглядеть как -то так»; 15. графическое изображение с текстовой надписью «неудачно прийти на митинг: 15 суток лишения свободы. оскорбить верующих: 2 года тюрьмы. гонять по москве, обстреливать соседние автомобили и машины дпс: штраф. это россия, детка»; 16. графическое изображение, разделенное на два сюжета с надписями «мусульмане в фильме», «мусульмане после фильма» с комментарием «нормально так»; 17. фотоизображение молодых людей с надписью – «все дети как дети, а чурка как всегда пальцы гнет» (",5,
133,"видеозаписи, размещенные темнохудовой е.а. в открытом доступе в социальной сети « »: «обращение скинхедов к русской нации» http://vk.com/videol58795102_164970149, продолжительностью 2 мин. 21 сек; «я русский» http://vk.com/videol58795102_164618354, продолжительностью 2 мин. 38 сек.; «я русский (голос свободы - ст.282)» http://vk.com/vidcol58795102_164618356, продолжительностью 2 мин. 36 сек. (",5,
134,"визуальные текстовые материалы: «кавказский спортсмен наткнулся на русских школьников»; «скингерл (skingirl)»; «нс демотиваторы»; «борьба за выживание нации»; «евпатий коловрат»; «обращение сявы к русичам»; «смерть хачам»; «вынужденное видеообращение»; «банда москвы, виват россия»; «кошерный союз» (",5,
135,"видеоролик «обращение нс по поводу событий на украине 1:28», размещенный на интернет- сайте http://vk.com/88burivoi88 (",5,
136,"материал, размещенный для всеобщего обозрения в сети «internet» на интернет - странице социальной сети «vkontakte», с индивидуальным адресом http:// vkontakte.ru/id7662348, на сайте «www.vkontakte.ru», с ip адреса: 90.150.33.233. для всеобщего использования видеозаписи под названием «ветераны рао на выезде», «антифа», «партия гитлера благословима», «русский очнись! против тебя идет война» (",5,
137,размещенная байкаловым никитой игоревичем в сети интернет на странице «сергей правый» сайта www.vkontakte.ru аудиозапись «велимор – коловрат. россия» (,5,
138,"брошюра абдуррахмана бин абдулькарим аш-шиха, офис по содействию в призыве, наставлении и просвещении этнических меньшинств в районе рабва г.эр-риярд, королевство саудовская аравия, на 64 листах «мухаммад величайший из всех. мухаммад – посланник аллаха» (",5,
139,"Материалы исключены из списка (определение Сургутского городского суда Ханты-Мансийского автономного округа-Югры от 14.04.2011). 14 апреля 2011 г. Сургутский городской суд Ханты-Мансийского автономного округа-Югры определил произвести поворот исполнения решения Сургутского городского суда Ханты-Мансийского автономного округа-Югры от 26 марта 2010 г. путем исключения из Федерального списка экстремистских материалов Министерства юстиции Российской Федерации, размещенного на официальном сайте Минюста России в международной компьютерной сети «Интернет», информационных материалов Л.Рона Хаббарда с номера 632 по номер 660. Определение вступило в законную силу 26 апреля 2011 г.",5,
140,"информационные материалы, распространенные и хранящиеся в сети интернет по электронным адресам: видеофайл «русские скины!!! россия для русских!!», размещенный по адресу http:// vkontakte.ru/video106162466_158838975; видеофайл «славянский союз-националистическое движение №1 в мире», размещенный по электронному адресу http:// vkontakte.ru/video106162466_158864846; изображение человека в маске, вскинувшего правую руку в римском/нацистском приветствии и нецензурной надписью, размещенное по адресу http:// vkontakte.ru/photo106162466_211484365 (",5,
141,видеоролик «самоубийство белой расы» (,5,
142,"информационный материал, размещенный в глобальной информационной сети интернет, в форме видеозаписи под названием «запрещенная на тв социальная реклама» (",5,
143,"информационные видеоматериалы «основной альбом» под музыку дюшес – я рисую белым мелом 14/88.picrolla», размещенный по интернет-адресу: http://vk.com/video137696323_165153287, и «наколки белых братьев» под музыку скины –зиг хай. picrolla», размещенный по интернет-адресу: http://vk.com/video137696323_1164443040 (",5,
144,"аудиозапись под названием «русский стяг (россия, моя россия).mp3», аудиозапись под названием «русский стяг (русский нацист).mp3 (",5,
145,текст песни «тимур муцураев - мы жизни истину познали» размещенный на странице пользователя (в социальной сети « ») «мансур нихло» имеющий электронный адрес «https://vk.com/id230452799» (,5,
146,"видеофайл «россия для русских!!!!! мы победим – кавказцы проиграют эту войну» продолжительностью 01 мин. 54 сек., который состоит из видеоряда и надписей: танцующий кадыров р.а. и надпись «они объявляют нам джихад, а им дают звания героев россии» ….. «вы ответите за смерть наших парней. мы победим!», размещенный в сети интернет в социальной сети « » на персональной странице пользователя под ником «алексей пугачев» (http://vk.com/videos44609335?q=poccия%20для&section=search, http://vk.com/videos44609335?q=poccия%20для&section=search&z=video44609335_158239953), а также по электронному адресу: http://hlamer.ru/video/189422-my_pobedim_rossiya_dlya_russkih (",5,
147,"видеоролики «хорсс – mein kampf.mp4», «хорсс – моя борьба.mp4», аудиофайлы «коловрат - правый скинхед.mp3», «коловрат и коррозия метала – белые волки.mp3», географические материалы папка 00 файл 58, папка 00 файл 15, размещенные в сети интернет в социальной сети « » (",5,
148,"видеоролики: «велимор-коловат», «коловат-герои рао», format 18- белый вагон», «коловат-mein kampf»; «казнь хачей (теги, скинхеды, самосуд, хачи)», аудиозаписи «коррозия металла – лучше мертвый чем живой», «коррозия металла - грязный город», «коррозия металла - я шагаю по москве», «»коррозия металла - свобода или смерть», размещенные в социальной сети « » информационно-телекоммуникационной сети «интернет» на странице пользователя (http://vk.com/id69598958) (",5,
149,"видеоролик, продолжительностью 0 минут 27 секунд с заглавием «чурки: «мы приехали в москву порядок наводить» (",5,
150,"видеофайл «русский, очнись! против тебя идет война!», файл «2ee9cab98f4380031246.vk», формат «.flv», размером 14 мб, продолжительностью 6 мин. 19 сек., размещенный в сети интернет, на сайте «www.vkontakte.ru», на интернет-странице, имеющей адрес «http://vkontakte.ru/id5907944», в открытом для неограниченного круга лиц доступе (",5,
151,"книга сейида кутба «будущее принадлежит исламу» (м. издательство «сантлада», 1993) (",5,
152,"видеоматериал под названием «беспредел кавказоидов в хабаровске» также распространяется под названием «беспредел в хабаровске» продолжительностью 4 мин. 33 сек., начинающийся видеофрагментами применения насилия и словами «убери! убери», заканчивающийся фразами: «кавказцы вместе, понятно?», «азербайджан», «аллаху акбар» (",5,
153,"размещенные в сети интернет, в том числе на веб сервисе сайта «vk.com» аудиозаписи «хук справа – генерал ермолов» длительностью от 03 минут 00 секунды до 06 минут 46 секунд, «хук справа – генерал ермолов (черно-белый режим 2009), длительностью 03 минуты 22 секунды, «хук справа – генерал ермолов [2009 - черно-белый режим], длительностью 03 минуты 22 секунды, «хук справа – генерал ермолов (2009)», длительностью 03 мину 23 секунды, «хук справа – генерал белянский (ермолов)», длительностью 03 минуты 22 секунды, «хук справа -генерал ермолов (live архангельск 26.09.2009)», длительностью 04 минуты 13 секунд, «хук справа - генерал ермолов -», длительностью 03 минуты 22 секунды, «хук справа – d генерал ермолов d -», длительностью 03 мину 22 секунды, «хук справа – генерал ермолов (live ставрополь 24.10.2009)», длительностью 05 минут 09 секунд, «неизвестен – хук справа – генерал ермолов (неофициальный клип)», длительностью 03 мину 27 секунд, «хук справа - генерал ермолов» длительностью 03 минуты 22 секунды, «правая(наша) хук справа – генерал ермолов(без вступления)» длительностью 02 минуты 05 секунд, «правая(наша) хук справа – генерал ермолов(вторая половина)» длительностью 01 минута 43 секунды, начинающихся словами: «никаких поблажек», - молвил генерал...» и заканчивающихся словами: «...завет помнят твой тысячи русских ребят» (",5,
