,material
636,"видеофайлы: city hunters birthday party.wmv ; magic skinheads.avi; праффда__о_злых_бонах. avi, студии «формат-18», содержащиеся на dvd диске № 1 ("
637,"файлы формата mp3: 01 - день петли.mp3; 02 - не верь никому!.mp3; 03 - громовые раскаты нашей борьбы.mp3; 04 - украинский патриот (сокира перуна cover).mp3; 05 - брудний cнir.mp3; 06 - погром.mp3; 07 - ночной кошермар.mp3; 08 - мразь.mp3; лють - 01 response.mp3; лють - 02 rage.mp3, содержащиеся на dvd диске № 3 ("
638,"файлы: 13ng.jpg; 14s.jpg; 15ng.jpg; 13760081zi8.jpg; 84359999ys4.jpg; 91749033rq2.jpg; fashizmfi0.jpg; listnso..jpg; nso.jpg; nsol-2.jpg; nsol-4.jpg; nsomockba2-2.jpg; nsomockba2-4.jpg; nsomockba3-2.jpg; nsomockba3-4.jpg; okkupantss.jpg; пиздобол!!.jpg; скин с флaгoм4.jpg; тoлcтoй2.jpg; devushka.doc; devushkapol.doc; listovka2.doc; listovka3.doc; listovka 4.doc; listovka 5.doc; listovka 6.doc; listovka 7.doc; listovka_3proc.doc; listovka_isaev.doc; nso_marsh.doc, содержащиеся на dvd диске № 5 ("
639,"файлы: 2ymgn6g.jpg; 4zv8zyx.jpg; 34y8utl.jpg; 1937-ns.jpg; 7777-web.jpg; 19567792_gaubiza.jpg; 24112006_04.jpg; 9774545425.jpg; aaawzim30.jpg; aliens2.jpg; amphetamins.jpg; antifak.jpg; beelinel.jpg; bey.jpg; classifrry6.jpg; condi_whitey.jpg; europe2015.jpg; f75e3fb7fdc7.jpg; fashdosug.jpg; gooks.jpg; graffitil.jpg; happybird.jpg; immigr.jpg; niger.jpg; not-for-slaves.jpg; save88.jpg; sobchak4aw.jpg; victory-copy88.jpg; африканский народный обычай, у нас масленица, у них линчивание.jpg; блажены нищие дyxoм.jpg; давай ширнёмся, мне мама из африки героинчика npислала.jpg; не знаю, может лучше с крестом попробовать.jpg; юар негры убивают белых.jpg, содержащиеся на dvd диске № 7 ("
640,"файлы: 0sehme7w3 lr4.wmv; ol.wmv; 02.wmv; 03.wmv; 04.wmv; 5 на 5.avi; 05.wmv; 06.wmv; 07.wmv; 08.wmv; 09.wmv; 10.wmv; 11 .avi; 12.wmv; 13.wmv; 14.wmv; 15.wmv; 16.wmv; 17.wmv; 18.wmv; 19.wmv; 20.wmv; 21.wmv; 22.wmv; 23.avi; 24.wmv; 25.avi; 26.wmv; 27.wmv; 28.wmv; 29.wmv; 30.wmv; 31.wmv; 20070224.wmv; borbaroal8.wmv; dueliroa18.wmv; f18video-tecaк про 4 ноября.wmv; kulachniy_boyroa18 .wmv; noziroa18.wmv; nso-burning01.avi; nso-burning02. avi; nswpvideo - будущее poccии.wmv; okkupanti.wmv; okkupanti2.wmv; qwerty.wmv; rodovich.wmv; rukopashkal -r0a18.wmv; sturmroa18 .wmv; афа [ремикс].wmv; афа с бороденкой. wmv; вальпургиева ночь.avi; в гостях у hco-питер.wmv; гитлер-wmv; день русской нации.wmv; допрос aнтифa.wmv; допрос гуков.avi; жиды. wmv; изpaиль.wmv; koppoзия.wmv; легенда об oб46.wmv; митинг hco.avi; митинг нсо 19.03.06 в рязани. avi; мы идем (ру.с). avi; нс против афы (рязань). avi; подготовка бойцов hco-питер.wmv; подъем в лагере. avi; поздравление с новым годом.wmv; пострадавшая. wmv; реппера выхватывают.wmv; phe.wmv; румянцев 21 aпp.07r..wmv; рязань-владимир. wmv; тренировки бойцов нсо [плохое качество].wmv; фильм.wmv; чистка.wmv, содержащиеся dvd диске № 9 ("
641,"файлы: дискография.dос; collage 2.jpg collage 3.jpg; collage4.jpg; collage5.jpg; collage6.jpg; collage7.jpg; nas_ne_ostan_www.jpg; nas_ne_ostanovit_www.jpg; nepobedimoe_voy_www.jpg; nepobedimoe_voysko_www.jpg; obj_001.jpg ; obl__01.jpg; obl_003.jpg; obl_03.jpg; obl_004.jpg; obl_04.jpg; rossia_dlya_r_www.jpg; rossia_dlya_russkih_www.jpg; 1 amur.mp3; 1 amur_front.mp3; 1 ariyskaya_chest.mp3; 1 ariyskiy_rassvet.mp3; 1 bоy.mрз; 1 chestnaya_igra.mp3; 1 fair_pjay.mp3; 1 hooligans_dont_stop.mp3; 1 moya_borba.mp3; 1 pogrom.mp3; 1 rossia_dlya_russkih.mp3; 1 vzaperti.mp3; 1хорсс.трз; 1 znamya__krovi .mp3; 2.mp3; асав.mрз; в&н.mрз; berserki.mp3; c_18.mp3; geroin.mp3; heil.mp3; horst_ vessel.mp3; hummer_skins.mp3; molodym_volkam.mp3; nenavist.mp3; nepobedimoe_voysko.mp3; oi.mp3; pesnya_o__rusi.mp3; r_a_c.mp3; rahowa.mp3; rossia_prinadlezhit_nam.mp3; russia_dlya_russkih.mp3; shturmovik.mp3; skinhead.mp3; slava_rossii.mp3; treneruysya.mp3; ubei.mp3; valhalla.mp3, содержащиеся на dvd диске № 19 ("
642,"файл bound for glory - run nigger nigger.wmv, содержащийся на dvd диске № 23 ("
643,Запись исключена из списка (смотри № 619).
644,Запись исключена из списка (смотри № 620).
645,Запись исключена из списка (смотри № 621).
646,"информационный материал дефиницию (определение) «чеченская республика» в 58 томе книжного издания «большая энциклопедия» (москва, издательство «терра», 2006 г.) ("
647,общественно-аналитическая газета башкортостана «майдан» № 1 (11/125) за август 2008 года (
648,Запись исключена из списка (смотри № 615).
649,"газета «свободная республика» № 40 (189), содержащую статью «тяжелые похороны. президент получил от ворот поворот» ("
650,"статья «о национальной идеологии русского народа», размещенная в информационном бюллетене омской региональной общественной организации «русско-славянский национальный союз» «вести рснс» (выпуск № 2 за июль 2008) ("
651,"реклама магазина молодежной одежды «extra» с изображением двух расположенных рядом молний, схожим с нацистской символикой ("
652,видеоматериал «kavkaz» на интернет-странице по электронному адресу: http:vkontakte.ru/id28497819 (
653,"материалы, размещенные в созданном смирновым а.г. блог-дневнике «живой журнал», являющегося формой публицистической периодики, профиль которого расположен по электронному адресу: http//exsaga.livejournal.com./ ("
654,"тексты «резолюция расширенной сессии милли меджлиса татарского народа по декларации о государственном суверенитете татарстана» и «обращение милли меджлиса татарского народа о признании государственного суверенитета республики татарстан», размещенные в глобальной информационной сети интернет по адресу: mili-mijlis blogspot.com и azatlyk-vatan.blogspot.com. ("
655,видеоматериалы «почему скины и фашисты разные вещи» и «нападение на московского скинхеда» (
656,"информационный материал в форме брошюры «образ врага» в германской военной пропаганде, издательства «альфапринт» город новочеркасск, библиотека новочеркасского педагогического института, серия «источник», 2007 г. ("
657,"информационные материалы - записи песен, предположительно, автора и исполнителя муцураева тимура хамзатовича (хасановича), содержащиеся на носителе - компакт-диске под номерами файлов: № 5 песня «и распахнутся ворота...»; № 7 песня «в мечтах и грезах смутно виден рай...»; № 8 песня «мир, содрогнись и на колени встань...»; № 11 песня «звучит коран, ему внимают нахи...»; № 12 песня «о аллах, мир окутан страшной мглой!...»; № 15 песня «нам ниспослана милость от грешных услад...»; № 20 песня «багрово на закате солнце...»; № 21 песня «пустынны улицы аварского села...»; № 25 песня «агрессоры в селе алхан-кала...»; № 26 песня «тюрьма племен, империя-палач...»; № 31 песня «спустилась тьма, безмолвие в горах...»; № 36 песня «туман над горами встает...»; № 40 песня «вставай чечня, пора в поход!...»; № 56 песня «снова начинается день...»; № 61 песня «в бой сыны кавказа, лучшие сыны...»; № 70 песня «чеченцы, услышьте, услышьте мой зов...»; № 78 песня «ночь холодна, опасен путь...»; № 82 и № 91 песня «черных дней череда, трудный час наступил...»; № 96 песня «по меньшей мере, войны шли лет триста...», № 98 песня «еще один рывок, еще рывок вперед...» ("
658,листовка «независимая организация националистов» (
659,информационный материал «майдан» № 1 (11/12) ноябрь 2008 г. (
660,"информационные материалы - брошюра «очищение и воспитание и потребность мусульман в этом» автора мухаммада насыруддина аль-альбани, первое издание, перевод с арабского и примечания к тексту подготовлены редакцией сайта http://www.toislam.com/ ("
661,"печатное издание формата а-3 в черно-белом исполнении с названием «я - русский! а - ты?», (изданное при участии среднероссийского бюро «тривинс» г. тула, ул. л. толстого, д.24, тиражом 999 экземпляров) ("
662,"печатное издание русскую патриотическую газету в черно-белом исполнении под названием «рубеж» № 4 (187) август 2008 года, формата а 4, на четырех листах, на первом листе статья под названием «наша цель-создание системы русской православной взаимопомощи», автор и.в. артемов (отпечатано 19.08.2008 ооо «сфера» г. москва, ул. авиамоторная, д. 12, тиражом 2000 экземпляров) ("
663,"фильм «кровь в мечети ибрагима», содержащийся на двд-диске ("
664,"фильм «боль», содержащийся на двд-диске ("
665,"фильм «иерусалим обещание небес»», содержащийся на двд-диске ("
666,фильм «воззвание минаретов аль-кудса» содержащийся на двд-диске (
667,"фильм «иерусалим и черная ненависть», содержащийся на двд-диске ("
668,"текстовый документ (статья) под наименованием «умри немытая россия!» со ссылкой на автора джамиля шаньморта, обнаруженный и изъятый в глобальной телекоммуникационной сети интернет на ресурсе (сайте), расположенном по электронному адресу «http: // salahuddin. blog. ru» ("
669,"текстовый документ (статья) под наименованием «мусульмане, в ружье!», со ссылкой на автора джамиля шаньморта, обнаруженный и изъятый в сети интернет по электронному адресу: «http: // hanufa. com.» ("
670,"информационный материал - веб-ресурс http://www.islamdin.com/ (ip-адрес 80.239.207.201), размещенный в информационно-телекоммуникационной сети «интернет» ("
671,"текстовый документ под наименованием «заявление командования вооруженных сил объединенного вилайата кабарды, балкарии и карачая», обнаруженный и изъятый в ходе мониторинга мис интернет на сайте «www.kavkazcenter.com» ("
672,"«печатное издание русскую патриотическую газету в черно-белом исполнении под названием «рубеж» № 3 (191) октябрь 2009 года, на четырех листах, на первом листе статья под названием «белые и красные», автор и.в.артемов (отпечатано 03.10.2009 ооо «сфера» г. москва, ул. авиамоторная, д. 12, тиражом 2000 экземпляров)» ("
673,листовка «нам не безразлична судьба родины» (
674,печатное издание «русский партизан. церковно-повстанческий вестник № 27» (
675,интернет-ресурс http://www.ingushetia.org (
676,"печатное издание: м.п. шерстнев. кто правит нами: психология управленцев. - москва.: русская правда, 2006 год, четвертое издание, дополненное и переработанное ("
677,"книга «застольные разговоры гитлера», автор пикер г., перевод с немецкого и.в.розанова, общ. ред. вступ. статья и предисловие и.м. фрадкина, художник а.вдошко – смоленск: фирма «русич», 1993 год – 496 страниц ("
678,"информационный материал под общим названием «набат», содержащий печатные материалы с подзаголовками «зеленина в отставку!» и «долой новых помещиков!» ("
679,"«убей! нам нечего терять. построй мост с богами!» на странице - http://vkontakte.ru/photo-12739028 142600726; «убивай детей мусоров. будь жестоким. продавай педофилам. сжигай отпрысков заживо» на странице 1273-9028 1426007267; «дети мусоров. убей! выкалывай глаза, отрезай пальцы, уничтожай мразь без жалости. еще одно поколение сторожевых псов!» на странице - http://vkontaktc.ru/photo-12739028 142600916; «режь! сми - п...ц. смерть системе! убивать - весело! время террора настало!...» на странице - http://vkontakte.ru/photo-127.19028 ! 42600917; «убей тинэйджера, сотвори над ним п...ц...» на странице – http://vkontakte.ru/pholo-12739028_142601598; «вали хачей. умою я свою россию кровью с улыбкой детской и любовью» на странице -http://vkontakte.ru/photo-12739028 142602138; «смерть жидам. ns-wp.cc» на странице - http://vkontakte.ru/photo-l 2739028 142846621; «нам нужна ваша кровь! убивай! убей мента! убей хача!» на странице http://vkontakte.ru/photo-12739028 142601703; «насилие и террор. вооружайся!» на странице - http://vkontakte.ru/photo-12739028 142601962. ("
680,"информационные материалы под названием «драка спецназа и армян в армавире» размещенные юшкиным в.в. в телекоммуникационной сети «интернет» на сайте www.kuban.ru («форум на www.kuban.ru», директория «общество») под именем пользователя «юшкин», № 2 от 11.01.2008 г. в 10 часов 55 минут; № 10 от 11.01.2008 г. в 15 часов 24 минуты; № 23 от 13.01.2008 г. в 11 часов 35 минут; № 47 от 18.01.2008 г. в 10 часов 01 минуту; № 81 от 26.01.2008 г. в 13 часов 41 минуту; № 114 от 29.01.2008 г. в 12 часов 24 минут; № 121 от 30.01.2008 г. в 18 часов 27 минут; № 132 от 31.01.2008 г. в 12 часов 09 минут, в которых негативно оценивается человек или группа лиц по признакам отношения к национальности (в частности, к армянской национальности). № 10 от 11.01.2008 г. в 15 часов 24 минуты; № 23 от 13.01.2008 г. в 11 часов 35 минут; № 47 от 18.01.2008 г. в 10 часов 01 минуту; № 132 от 31.01.2008 г. в 12 часов 09 минут, в которых имеются выраженные языковыми средствами негативные сведения о действиях представителей армянской национальности.№ 10 от 11.01.2008 г. в 15 часов 24 минуты; № 114 от 29.01.2008 г. в 12 часов 24 минут; № 121 от 30.01.2008 г. в 18 часов 27 минут; № 132 от 31.01.2008 г. в 12 часов 09 минут, в которых имеются высказывания, содержащие положительную оценку враждебных действий одной группы лиц (русских по национальности) по отношению к другой группе лиц (лицам армянской национальности), объединенных по признакам национальности, а также происхождения. № 10 от 11.01.2008 г. в 15 часов 24 минуты; № 132 от 31.01,2008 г. в 12 часов 09 минут, имеются высказывания побудительного характера, по смысловому пониманию косвенно на имплицитном уровне призывающие к враждебным и насильственным действиям одну группу лиц (русских по национальности) по отношению к другой группе лиц (в частности, к лицам армянской национальности), объединенных по признакам принадлежности к определенной национальности, а также происхождения ("
681,газета «третья столица» спецвыпуск «хроники пикирующего градононачальника» (
682,"статья «ты избрал – тебе судить», опубликованная в газете «дуэль» № 14 за 2009 год ("
683,интернет-ресурс http://dobroslav.onestop.net/ и содержащиеся на нем информационные материалы (
684,"публикация под заголовком «контрафактная церковь» автора товбина кирилла михайловича, размещенная в сети интернет по адресу: http://tovbin.hoter.ru/wiki/1126/316 ("
685,интернет - ресурс www.sovinform.ru с содержащимися на нем материалами (
686,журнал «великоросский хозяин» № 15 (21) за 2006 г. «почему люди не любят еврейскую мафию?» (
687,"статья «соратники! поможем инородцам покинуть наш город!!!», размещенная на сайте сети интернет www.antagonizm.ru. ("
688,журнал «великоросский хозяин» № 26 за 2006 г. «родоверие – русская вера» (
689,журнал «великоросский хозяин» № 10 (16) за 2005 г. «о деятельности инородцев в россии» (
690,журнал «великоросский хозяин» № 8 (14) за 2004 г. «трагикомическое племя» (
691,журнал «великоросский хозяин» № 11 (17) за 2005 г. «кто заселяет россию азиатскими мигрантами?» (
692,"информационный материал - распечатка книги «моя война», размещенная в откс «интернет» на сайте www.88belarus.24.ru ("
693,журнал «русская воля» № 9 за 2005 год (
694,книга «один в поле воин» (книга для муджахеда) под редакцией амира абдуллагьа шамиль абу идриса (
695,"№ 2 газеты «мера понимания», содержащий статью «антирусская доктрина ползучей клерикализации» ("
696,"№ 5 газеты «мера понимания», содержащий статью «четыре взгляда на иудейство» ("
697,видеоролик «jamaatshariat-indonezia229» (
698,книга б. муссолини «мемуары 1942-1943» (
699,газета оран № 7 (7) март 2010 (
700,газета оран № 8 (8) март 2010 (
701,"газета «новая рабочая газета» выпуск № 3 (60) 2010 года, напечатанная 27.04.2010 года ("
702,брошюра «аль-ваъй» № 218 (
703,брошюра «аль-ваъй» № 224 (
704,брошюра «аль-ваъй» № 227 (
705,брошюра «аль-ваъй» № 228 (
706,брошюра «аль-ваъй» № 231 (
707,брошюра «аль-ваъй» № 232 (
708,информационный материал «ильм (знание) и сакафат (просвещение)» (
709,"информационный материал «концепция хизб-ут-тахрир», автор такийю-д-дин набханий, шестое издание (издание утвержденное), 1421 г.х.-2001 г.гр. ("
710,"информационный материал «исламская личность», часть 1, автор такийю-д-дин набханий ("
711,"информационный материал «демократия. система неверия», автор абдул-кадим заллум ("
712,"листовка «ислам, и ничто другое, разрешает проблемы человека» ("
713,"листовка «призыв хизб-ут-тахрир к исламской умме и в особенности к тем, кто обладает силой в ней» ("
714,листовка «месячный шахри-халака» (
715,"статья поротова н.т. «по страницам печатных изданий. к вопросу об олигархах-евреях в постсоветской россии, или о возникшем «засилье» властной «клептократии», опубликованной 18 марта 2010 г. в выпуске газеты «родина» № 11(808) ("
716,книга шейха али аль-тантауи «общее представление об исламе» (
717,брошюра ясера аль-устуани «что вы знаете об исламе?» (
718,"печатное издание «библия: слово бога или человека?» издательство watchtower bible and tract society of new york, inc. international bible students association brooklin, new york, u.s.a. 1998 ("
719,"брошюра «бодрствуйте!» издательство watchtower bible and tract society of new york, inc. brooklin, new york, u.s.a. 2006 ("
720,"брошюра «сторожевая башня» от 1 января 2008 года издательство wachtturm bible and tractat-gesellshaft der zeugen jehovas, е. v., selters/taunus ("
721,"брошюра «сторожевая башня» от 1 ноября 2009 года издательство wachtturm bible and tractat-gesellshaft der zeugen jehovas, е. v., selters/taunus ("
722,"брошюра «сторожевая башня» от 1 декабря 2009 года издательство wachtturm bible and tractat-gesellshaft der zeugen jehovas, е. v., selters/taunus ("
723,"брошюра «пробудитесь» за август 2009 года издательство wachtturm bible and tractat- gesellshaft der zeugen jehovas, е. v., selters/taunus.» ("
724,"видеофайл «видео: док. фильм «русское сопротивление», размещенный по адресу http://bashtube.ru/video/45183/ ("
725,"видеофайл под названием «видео: бритоголовые наносят рейд», размещенный по адресу http://bashtube.ru/video/59036/ ("
726,"публикация под заголовком: «нанайцы: плачевная действительность», размещенную в сети интернет по адресу: http:/guraba.net ("
727,"публикация под заголовком: «ороки: горькая судьба почти исчезнувшего народа», размещенную в сети интернет по адресу: http:/guraba.net ("
728,"публикация под заголовком: «орочи: горькие плоды геноцида», размещенную в сети интернет по адресу: http:/guraba.net ("
729,"публикация под заголовком: «ульчи: плачевная действительность угнетенного народа», размещенную в сети интернет по адресу: http:/guraba.net ("
730,"статья «идем на выборы. да! нет...почему я не иду на выборы?», опубликованную в еженедельной информационно-развлекательной газете «лазаревская панорама» № 2 (15) от 01 марта 2008 года, автором которой является атаманчук владимир леонидович ("
731,"брошюра «пора вернуть эту землю себе (построссийский проект)» автора петра хомякова, издание киев 2010 ("
732,"видеофильм «россия с ножом в спине 2», файл «2ed8c773883e123334322.vk», формат «.flv» размером 254 мб, размещенный 26.09.2009 уткиным д.в. на сайте социальной сети « .ru» ("
733,книга генриха гиммлера (нем. heinrich luitpold himmler) «эсэсовец и вопрос крови» (
734,"книга «основы веры в свете корана и сунны» (автор салих ас-сухейми) – м., издатель а.н. факихи, а. аль-гамиди. – 3-е изд., исп., допол. – м.: издатель эжаев, 2008 г. – 304 с. ("
735,газета «сакаафат «просвещение» (
736,"«статья под заголовком «молчание русских ягнят», опубликованная в газете «русский клуб» № 11 за август 2005 года ("
737,"статья под заголовком «кемска волость», опубликованная в газете «русский клуб» № 11 за август 2005 года ("
738,"статья под заголовком «основные положения программы, организация национального возрождения - «русский клуб», опубликованная в газете «русский клуб» № 11 за август 2005 года ("
739,"статья под заголовком «нравы наших соседей. китайцы едят собственных детей, что они готовы делать с нашими несложно догадаться...», опубликованная в газете «русский клуб» № 11 за август 2005 года ("
740,газета «думать по-русски» № 3 за декабрь 2007 года (
741,"статья «план путина - беда россии!», опубликованная в газете «думать по-русски» № 3 за декабрь 2007 года ("
742,"архив старой версии блога, размещенного в сети интернет на сайте http://iepifanz.liveiournal.com/ ("
743,"материалы, размещенные в сети интернет по электронному адресу http://iepifanz.liveiournal.com/ ("
744,брошюра а.н. игнатьева «пятая колонна» (
745,газета «русская сибирь» № 64 за ноябрь 2001 года (
746,листовка «рне организация русского сопротивления» (
747,листовка «деосинизация» (россии) (
748,"статья под заголовком «welkome, мигранты! юревич пригласил в город переселенцев: оказывается город в них нуждается!», опубликованная в бюллетене «наша русская правда п», отпечатанная в ооо «еманжелинский дом печати» 18.02.2010, заказ № 222 ("
749,"статья под заголовком «манифест «а.р.с.», опубликованная в бюллетене «наша русская правда п», отпечатанная в ооо «еманжелинский дом печати» 18.02.2010, заказ № 222 ("
750,интернет-сайт http:/www.ichkeria.info (
751,музыкальное произведение «радикальный голос» группы «коловрат» (
752,музыкальное произведение «львы и шакалы» группы «коловрат» (
753,музыкальное произведение «политические солдаты» группы «коловрат» (
754,музыкальное произведение «славянский дух» группы «коловрат» (
755,музыкальное произведение «демократия свинца» группы «коловрат» (
756,музыкальное произведение «стражи отчизны» группы «коловрат» (
757,музыкальное произведение «клич нордической крови» группы «коловрат» (
758,музыкальное произведение «полицейское государство» группы «коловрат» (
759,музыкальное произведение «знак судьбы» группы «коловрат» (
760,музыкальное произведение «каскадеры» группы «коловрат» (
761,книга «геббельс йозеф. дневники 1945 года. последние записи» (
762,"аудиовизуальное издание cd-диск с названием «русское поле», слова исполнены синим и красным цветами, диск находится в коробке, на которой изображены две фотографии и надписи на черном фоне «росн представляет документальный фильм русое поле содомиты!!! поход на россию чеченский след» ("
763,"текст песни «за русскую нацию» музыкальной группы циклон-б, изложенной на аудионосителе-кассете ("
764,"текст песни «стада косых» музыкальной группы циклон-б, изложенной на аудионосителе-кассете ("
765,"текст песни «русский порядок» музыкальной группы циклон-б, изложенной на аудионосителе-кассете ("
766,"текст песни «мертвый жид» музыкальной группы циклон-б, изложенной на аудионосителе-кассете ("
767,"текст песни «бритоголовый» музыкальной группы «безумные усилия», изложенной на аудионосителе-кассете ("
768,видеоролик «кавказцы в россии» (
769,видеоролик «анти фа...» (
770,аудиофайл «антифа-лезгинка» (
771,музыкальное произведение «убей мента» группы «психея»» (
772,"печатная брошюра на 4 листах, озаглавленная «о люди! какие еще знамения и потрясения должны произойти в вашей жизни, чтобы вы, наконец, задумались над пророческим предупреждением мухаммада (да благословит его аллах и приветствует), в котором он обратился к человечеству со следующими словами «люди спят, и их разбудит смерть. так проснись же до смерти!» ("
773,"печатная листовка на 1 листе «о армии мусульман! неужели среди вас не найдется праведного человека, ревностного к исламу и мусульманам, а так же их чести и неприкосновенности?» ("
774,"печатная листовка на 1 листе, озаглавленная «сражение между собой -является большим и скверным преступлением, что служит интересам неверных. и правительство национального единства, первооснова которого признание «израиля» ("
775,"книга левашова николая викторовича «россия в кривых зеркалах», размещенная в сети интернет по электронным адресам www.levashov.org, www.levashov.info, www.levashov.name ("
776,газета «русское забайкалье» № 6 (23) от 4 июня 2008 года (
777,"информационный материал «белый букварь», распространенный в сети интернет на сайте http://talks.guns.ru ("
778,«программа русского национального движения» (
779,"14 комментариев статьи «имперская истерика», опубликованной 19 ноября 2009 года на сайте http:/hunafa.com ("
780,"видеообращение под наименованием «обращение закарии», обнаруженное и изъятое 04.07.2010 в ходе мониторинга глобальной телекоммуникационной сети интернет на сайте «www.islamdin.com» ("
781,"статья «важность стойкости на пути джихада», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
782,"статья «джихад - столп ислама и его вершина», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
783,"статья «джихад - обязанность мусульманина», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
784,"статья «законы джихада», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
785,"статья «дорогие наши сестры», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
786,"статья «обращение к сестрам мусульманкам», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
787,"статья «райские рынки», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
788,"статья «если вдруг остановится джихад», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
789,"статья «враги ислама. несколько штрихов», опубликованная в международной компьютерной сети «интернет» на информационном сайте «salafiti.ru» ("
790,"сайт «salafiti.ru», расположенный в международной компьютерной сети «интернет» ("
791,"речь в храме отца василия - новикова в.н., размещенную как информационный материал на диске dvd-r № map 702ll 13174652 а2 с надписью на лицевой стороне «+православие или смерть» ("
792,"видеофильм под названием «чудо», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 ("
793,"видеофильм под названием «явление креста», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 ("
794,"видеофильм под названием «телемост», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 ("
795,"видеофильм под названием «чипирование», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 ("
796,"видеофильм под названием «американское шоу», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 ("
797,"видеофильм под названием «гробы для американцев», размещенный как информационный материал на диске dvd-r verbatim № map 638na201636304 ("
798,"статья «боевая программа - абу мусс аб ас-сури. рекомендую», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
799,"статья «44 способа поддержать джихад», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
800,"статья «39 способов помощи джихаду и участия в нем», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
801,"статья «вопрос о методе восстановления халифата», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
802,"статья «воистину, им будет оказана помощь. воистину, наше войско одержит победу», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
803,"статья «несколько строк из фикха (о джихаде) шейх-уль-ислама ибн таймийи», опубликованная в международной компьютерной сети «интернет» на информационном сайте «f1sadilillahi.com» ("
804,"статья «письмо-обращение шейх-уль-ислама ахмада ибн таймийи», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
805,"статья «караван идет, собаки лают», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
806,"статья «книга муджапида», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
807,"статья «мученики», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
808,"статья «основы движения пораженцев», опубликованная в международной компьютерной сети «интернет» на информационном сайте «fisadilillahi.com» ("
